filename,width,height,label,xmin,ymin,xmax,ymax
11893820-3x2-xlarge.jpg,862,575,bad,12,238,92,318
11893820-3x2-xlarge.jpg,862,575,bad,46,42,104,97
11893820-3x2-xlarge.jpg,862,575,good,103,24,150,79
11893820-3x2-xlarge.jpg,862,575,good,243,2,291,51
11893820-3x2-xlarge.jpg,862,575,bad,166,36,228,99
11893820-3x2-xlarge.jpg,862,575,bad,208,141,247,185
11893820-3x2-xlarge.jpg,862,575,bad,149,237,223,312
11893820-3x2-xlarge.jpg,862,575,bad,89,336,183,400
11893820-3x2-xlarge.jpg,862,575,good,125,441,238,567
11893820-3x2-xlarge.jpg,862,575,bad,248,333,369,425
11893820-3x2-xlarge.jpg,862,575,bad,240,181,319,253
11893820-3x2-xlarge.jpg,862,575,bad,266,56,328,101
11893820-3x2-xlarge.jpg,862,575,bad,351,61,407,113
11893820-3x2-xlarge.jpg,862,575,good,400,37,462,94
11893820-3x2-xlarge.jpg,862,575,good,383,164,460,239
11893820-3x2-xlarge.jpg,862,575,bad,464,122,518,179
11893820-3x2-xlarge.jpg,862,575,bad,509,31,576,97
11893820-3x2-xlarge.jpg,862,575,bad,603,40,663,85
11893820-3x2-xlarge.jpg,862,575,bad,615,128,669,179
11893820-3x2-xlarge.jpg,862,575,good,544,201,629,290
11893820-3x2-xlarge.jpg,862,575,bad,508,346,586,418
11893820-3x2-xlarge.jpg,862,575,good,606,416,693,499
11893820-3x2-xlarge.jpg,862,575,good,675,247,753,326
11893820-3x2-xlarge.jpg,862,575,bad,720,56,772,110
11893820-3x2-xlarge.jpg,862,575,bad,820,30,862,72
11893820-3x2-xlarge.jpg,862,575,good,765,153,828,209
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,92,199,155,275
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,205,246,275,311
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,413,183,454,231
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,478,219,545,305
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,513,183,558,236
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,558,212,616,280
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,619,383,689,457
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,616,199,637,252
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,670,216,710,269
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,737,207,781,267
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,776,208,837,278
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,855,240,911,298
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,910,259,965,327
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,990,275,1067,349
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,1022,166,1054,216
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,1082,196,1134,259
ca_coronaviruscontagious_012720getty.jpg,1440,880,bad,1139,201,1190,255
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,1196,199,1224,240
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,1241,181,1301,241
ca_coronaviruscontagious_012720getty.jpg,1440,880,good,1320,194,1388,260
5db917bb89170.jpg,1500,1319,bad,77,289,243,445
5db917bb89170.jpg,1500,1319,good,500,286,702,476
5db917bb89170.jpg,1500,1319,good,1084,161,1254,348
125895-untitled-design-30.jpg,918,506,good,234,38,257,70
125895-untitled-design-30.jpg,918,506,good,199,58,235,94
125895-untitled-design-30.jpg,918,506,good,115,287,187,357
125895-untitled-design-30.jpg,918,506,good,282,234,339,297
125895-untitled-design-30.jpg,918,506,good,361,130,411,187
125895-untitled-design-30.jpg,918,506,good,361,9,379,27
125895-untitled-design-30.jpg,918,506,good,412,15,429,38
125895-untitled-design-30.jpg,918,506,good,497,28,526,53
125895-untitled-design-30.jpg,918,506,good,475,101,523,156
125895-untitled-design-30.jpg,918,506,good,495,185,554,247
125895-untitled-design-30.jpg,918,506,good,574,97,627,153
125895-untitled-design-30.jpg,918,506,bad,675,50,703,79
125895-untitled-design-30.jpg,918,506,good,730,61,763,101
125895-untitled-design-30.jpg,918,506,good,712,10,737,37
125895-untitled-design-30.jpg,918,506,good,768,5,799,36
125895-untitled-design-30.jpg,918,506,good,812,23,843,46
LondonChineseny260120-3.jpg,1000,562,bad,40,145,95,203
LondonChineseny260120-3.jpg,1000,562,good,106,145,176,229
LondonChineseny260120-3.jpg,1000,562,good,225,194,299,269
LondonChineseny260120-3.jpg,1000,562,good,274,107,350,190
LondonChineseny260120-3.jpg,1000,562,good,344,203,420,278
LondonChineseny260120-3.jpg,1000,562,good,435,137,509,219
LondonChineseny260120-3.jpg,1000,562,good,585,89,665,177
LondonChineseny260120-3.jpg,1000,562,good,689,167,763,247
LondonChineseny260120-3.jpg,1000,562,good,790,170,855,260
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,1,112,116,343
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,131,105,323,340
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,443,127,605,336
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,662,80,818,287
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,824,138,963,322
detectan_nuevos_casos_de_neumonia_virica_en_china.jpg,1100,700,good,978,176,1100,360
coronavirus-protections-22.jpg,1024,682,good,363,206,597,459
coronavirus-protections-22.jpg,1024,682,good,72,167,180,306
d6c103ca-7ec5-450f-9243-27663bcb4deb_0.jpg,940,627,good,278,92,367,186
d6c103ca-7ec5-450f-9243-27663bcb4deb_0.jpg,940,627,good,461,158,533,256
d6c103ca-7ec5-450f-9243-27663bcb4deb_0.jpg,940,627,good,740,189,793,264
d6c103ca-7ec5-450f-9243-27663bcb4deb_0.jpg,940,627,bad,377,181,418,228
airport-mask-1200x830.jpg,1200,830,good,204,237,319,339
airport-mask-1200x830.jpg,1200,830,good,571,217,660,316
airport-mask-1200x830.jpg,1200,830,good,931,237,1036,329
airport-mask-1200x830.jpg,1200,830,bad,6,158,67,229
airport-mask-1200x830.jpg,1200,830,good,323,144,400,200
d3144235.jpg,600,405,good,254,100,387,260
maxresdefault (1).jpg,1280,720,none,424,54,949,645
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,3404,1988,3858,2457
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,bad,3658,1426,4012,1780
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,bad,1874,1534,2235,1888
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2158,1911,2627,2357
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,4265,1543,4535,1811
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,666,1696,1051,2157
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,220,1411,481,1696
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1120,1634,1327,1942
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1497,1511,1735,1750
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1666,1334,1927,1673
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2243,1350,2520,1634
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2512,1380,2697,1596
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2752,1119,2889,1288
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,3243,1011,3435,1180
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,bad,1281,1396,1466,1619
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,481,1180,635,1342
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1612,1080,1820,1288
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,bad,2095,961,2247,1113
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2338,917,2403,1022
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2912,896,2990,1004
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1895,965,1999,1083
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,1121,870,1208,957
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,3064,1065,3229,1209
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,2586,1226,2729,1391
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,4151,900,4247,1026
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,4351,870,4451,1000
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,3547,1017,3634,1117
9a97c47e58ca6324cc0feaef3ef25c8c.jpg,4594,3062,good,4264,870,4347,978
20180203222921-dadab393fb38472558f8bebc58a6006c-tablet.jpg,1200,800,good,271,239,417,417
20180203222921-dadab393fb38472558f8bebc58a6006c-tablet.jpg,1200,800,good,461,306,615,487
20180203222921-dadab393fb38472558f8bebc58a6006c-tablet.jpg,1200,800,bad,815,260,1013,437
1579928067_250120120154270000005e2bca03bf464.jpg,983,639,good,105,92,143,134
1579928067_250120120154270000005e2bca03bf464.jpg,983,639,good,228,78,289,153
1579928067_250120120154270000005e2bca03bf464.jpg,983,639,bad,571,116,593,137
